Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
D,1/1/2018 9:49:00 AM,American Airlines,1100,A18,4
D,1/1/2018 9:50:00 AM,American Airlines,460,B8,4
D,1/1/2018 9:50:00 AM,American Airlines,646,A5,4
D,1/1/2018 9:50:00 AM,American Airlines,5757,B20,4
D,1/1/2018 9:50:00 AM,Southwest Airlines,625,D7,4
A,1/1/2018 9:50:00 AM,Alaska Airlines,636,11,2
D,1/1/2018 9:51:00 AM,American Airlines,489,A25,4
A,1/1/2018 9:52:00 AM,American Airlines,601,A17,4
D,1/1/2018 9:53:00 AM,American Airlines,5785,B21,4
A,1/1/2018 9:54:00 AM,American Airlines,588,A8,4
D,1/1/2018 9:55:00 AM,American Airlines,578,B10,4
D,1/1/2018 9:55:00 AM,American Airlines,5839,B19,4
D,1/1/2018 9:55:00 AM,Southwest Airlines,6007,C11,4
A,1/1/2018 9:55:00 AM,Southwest Airlines,8639,C4,4
A,1/1/2018 9:56:00 AM,American Airlines,1657,A27,4
A,1/1/2018 9:56:00 AM,American Airlines,319,A14,4
